NC_012491,Brevibacillus_brevis
NC_012914,Paenibacillus_sp.
NC_023134,Paenibacillus_larvae
NC_014098,Kyrpidia_tusciae
NC_013893,Staphylococcus_lugdunensis
NC_013205,Alicyclobacillus_acidocaldarius
NC_014483,Paenibacillus_polymyxa
NC_016935,Paenibacillus_mucilaginosus
NC_011999,Macrococcus_caseolyticus
NC_012121,Staphylococcus_carnosus
NC_002976,Staphylococcus_epidermidis
NC_007350,Staphylococcus_saprophyticus
NC_018665,Exiguobacterium_antarcticum
NC_012673,Exiguobacterium_sp.
NC_014219,Bacillus_selenitireducens
NC_014829,Bacillus_cellulosilyticus
NC_006582,Bacillus_clausii
NC_013791,Bacillus_pseudofirmus
NC_002570,Bacillus_halodurans
NC_018704,Amphibacillus_xylanus
NC_017668,Halobacillus_halophilus
NC_004193,Oceanobacillus_iheyensis
NC_010382,Lysinibacillus_sphaericus
NC_018065,Solibacillus_silvestris
NC_015634,Bacillus_coagulans
NC_013891,Listeria_seeligeri
NC_010184,Bacillus_weihenstephanensis
NC_009848,Bacillus_pumilus
NC_000964,Bacillus_subtilis
NC_014019,Bacillus_megaterium
NC_022524,Bacillus_infantis
NC_011567,Anoxybacillus_flavithermus
NC_006510,Geobacillus_kaustophilus